Titulo,Autor,Resumen,Etiquetas,Advertencias,Enlace,Coleccion,Palabras,Capitulos,Kudos
"smash that like button","turtle_bean","Footsteps thud softly through the various speakers and Tony stiffens. Someone’s coming. Right on cue, something is shoved into the frame by a pair of gloved hands; it hits the ground with a loud thud and an unpleasant cracking noise. No, not something, Tony realizes, as they plant their hands on the ground and push themselves up. Someone.The body groans and turns to face the camera, and Tony stumbles backward, clutching his hand to his heart as if to steady it. Not someone. Peter.--or, peter's identity is revealed during a live broadcast of his torture.
  [bad things happen bingo / prompt: recorded/broadcasted torture]","Marvel Cinematic Universe, Graphic Depictions Of Violence, Peter Parker & Tony Stark, Michelle Jones/Peter Parker, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker, Tony Stark, random Evil Guy of the day, Academic Decathlon Team (Spider-Man: Homecoming), Ned Leeds, Michelle Jones, Identity Reveal, Spider-Man Identity Reveal, Torture, Peter Parker Needs a Hug, Peter Parker Whump, Tony Stark Has a Heart, Tony Stark Needs a Hug, Bad Things Happen Bingo, Kidnapping","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/31845142","spiderman_fics__1","12,728","2/2","2,968"
"Things to note (about Peter Parker)","gelation","The thing about Peter Parker is that unless you explicitly ask him, he'd never tell you a thing. It's not that he was a secretive person per se, though he'd concede that he had a lot of secrets (read: Spider-man). It's just Peter didn't have the habit of sharing information randomly. or: Peter has a few not-so-secret secret talents; here are three of them","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Graphic Depictions Of Violence, Tony Stark & Peter Parker, Sam Wilson & Peter Parker, Pepper Potts & Peter Parker, Tony Stark, Peter Parker, Pepper Potts, Sam Wilson, Academic Decathlon Team (Spider-Man: Homecoming), Ned Leeds, Betty Brant, Genius Peter Parker, Peter has hidden talents, Peter can do Pr, Identity Reveal, or is it???, Athlete Peter Parker, there's a bit of","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/32218927","spiderman_fics__1","4,246","1/1","8,685"
"Don't do anything stupid.","orphan_account","“You think I should do something?” Peter whispered, staring at the door.Ned's grip on Peter's arms tightened, as if he was scared the teen might run off at any moment, “Are you crazy? You can’t just - just, no - ““But you’re right, someone could have a gun. I can’t just do nothing!”“Parker, I swear to god,” Michelle spat, “Don’t you even think about doing something stupid.”***Or: After failing to sign the Accords, Thaddeus Ross and a group of guards storm Midtown in search for Spider-Man. But Peter would rather not live out the rest of his days in the raft, so figures his best chance is to stall until Mr Stark gets here. He will know what to do.","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Marvel Cinematic Universe, Creator Chose Not To Use Archive Warnings, Peter Parker & Tony Stark, Ned Leeds & Peter Parker, Michelle Jones & Peter Parker, Peter Parker, Tony Stark, Michelle Jones, Ned Leeds, Flash Thompson, Thaddeus Ross, Hurt Peter Parker, Tony Stark Acting as Peter Parker's Parental Figure, Peter Parker Needs a Hug, BAMF Peter Parker, BAMF Michelle Jones, Electrocution, Attempted Kidnapping","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/32222035","spiderman_fics__1","5,786","1/1","2,425"
"Grandparents Day at Midtown","midnightwolf2192","It's time for Grandparents Day at Midtown School of Science and Technology. Peter thinks he's got no one to go with him but he has a surprise heading his way.","Marvel Cinematic Universe, The Avengers (Marvel Movies), Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Avengers Team & Peter Parker, Happy Hogan & Peter Parker, Happy Hogan & Peter Parker & Tony Stark, Hank Pym & Peter Parker, Nick Fury & Peter Parker, Ned Leeds & Peter Parker, Peter Parker, Ned Leeds, Nick Fury, Hank Pym, Tony Stark, Steve Rogers, James ""Bucky"" Barnes, Tony Stark Acting as Peter Parker's Parental Figure, Peter Parker Needs a Hug","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/32214892","spiderman_fics__1","2,242","1/1","4,241"
"Spider-Man Is Loved By The NYPD, But Peter Parker Is Adored.","Coincidental_fangirl","As they walked past the protestors, adrenaline still coursing through their veins, Peter followed along, listening to the avid discussion his friends were having about how good it felt to be doing something against the racism in America. However, his attention was suddenly taken to the two cops who were approaching. They were having a quiet discussion, muttering to each other under their breath. Peter had been watching them- his uncle was a police officer, so he had spent many shifts down at the precinct when he was a kid and often dropped by after school to see his father, so he knew many policemen. He had also come across and talked to lots of them during when he patrolled as Spider-Man, but these two officers, he did not recognise. As they grew closer and in better hearing range, one of their anecdotes caught Peter's attention and made his anger flare. ""This is why we shoulda killed all the slaves instead of freein' em."" His partner laughed. Or,Peter punches a racist policeman at a protest, gets arrested and bailed out by one of Ben's old co-workers who is now captain.","Marvel Cinematic Universe, The Avengers (Marvel Movies), Marvel, The Avengers (Marvel) - All Media Types, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Ned Leeds & Peter Parker, Michelle Jones & Peter Parker, Academic Decathlon Team & Roger Harrington, Academic Decathlon Team (Spider-Man: Homecoming) & Peter Parker, Ben Parker & Peter Parker, Peter Parker & Shuri, Peter Parker & Spider-Man, Peter Parker, Academic Decathlon Team (Spider-Man: Homecoming), Ned Leeds, Michelle Jones, Roger Harrington, Police Officers (Characters)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/32133226","spiderman_fics__1","3,047","1/1","6,064"
"Collections","gelation","Peter liked to keep things. Or more accurately, just… never throw them away. It wasn't really to the point that he'd say he had a hoarding disorder. He was just fine with the idea of throwing them away. It's just… what a waste, you know? They’d find some use later on, he was sure.Naturally, this extended to his activities as a science nerd and, later on, his vigilante persona. This may or may not have… caused some problems. Or: Peter Parker finding things to give to the Avengers in his pile of random things.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Steve Rogers, Peter Parker & Clint Barton, Peter Parker & Sam Wilson (Marvel), Peter Parker & Pepper Potts, Peter Parker & Natasha Romanov, Peter Parker & Thor, Peter Parker & Avengers Team, Peter Parker & Bruce Banner, Peter Parker & Wanda Maximoff, Peter Parker & James ""Rhodey"" Rhodes, Peter Parker, Tony Stark, Jarvis, Steve Rogers, Bruce Banner (mentioned), Natasha Romanov (mentioned)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/31822759","spiderman_fics__1","2,357","1/1","5,464"
"Peter has a weird neighbor.","gelation","18:54 | Queens, NY, USA | Peter Benjamin Parker
   Good afternoon, Mr. King T'chaka, sir. This is Peter Parker. I'm 10 and I live in Queens. I'm sending a message to let you know that I have a neighbor who is really, really weird and I don't like him. He has a dog. It's really mean and tries to scare the cats away and he just lets him! He's really evil, Mr. T'chaka, your majesty, sir. Also, I think he's been selling something called Vibranium out for a few months now? I don't really know who he is cause his name is hard to pronounce and even if I don’t like him, I don't want to mispronounce his name cause it's disrespectful, you know? Anyways, please come get him and never let him come back. Thank you.Sincerely,Peter Benjamin Parker.P.S. Take the dog with you.
Or: a Peter Parker meets Shuri before Tony Stark AU","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Black Panther (2018), No Archive Warnings Apply, Ramonda/T'Chaka (Marvel), Ben Parker/May Parker (Spider-Man), Peter Parker & T'Challa, Peter Parker & Shuri, Peter Parker & Ned Leeds, Peter Parker & Michelle Jones, May Parker (Spider-Man) & Peter Parker, T'Chaka (Marvel), T'Challa (Marvel), Shuri, Okoye (Marvel), Peter Parker, Ben Parker (mentioned), May Parker (Spider-Man), Peter Parker & Shuri Friendship, Genius Peter Parker","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/31672751","spiderman_fics__1","6,510","1/1","5,300"
"Peter has a gun","gelation","Sometimes, when the days get really bad; when the insults get too close for comfort; when he still sees a shadow of red on his hands, he'd go out to the range and just shoot, shoot and shoot. Every time, when Peter would arrive, the people, staff or regulars, at the range would get ready to see a show. Peter Parker, nephew of the late Ben Parker, never, never ever, missed a shot. Or: Peter Parker has a gun. that's it, really","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Creator Chose Not To Use Archive Warnings, Peter Parker & Tony Stark, Peter Parker & Natasha Romanov, Clint Barton & Peter Parker, Peter Parker & Sam Wilson, Peter Parker & Wade Wilson, Peter Parker, Tony Stark, Ben Parker (mentioned), Natasha Romanov (Marvel), Clint Barton, Sam Wilson (Marvel), Peter Parker has a gun, BAMF Peter Parker, this is basically a fic abt Peter having a gun, Tony Stark Acting as Peter Parker's Parental Figure, Tony is worried abt him, Tags Are Hard","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/31395659","spiderman_fics__1","1,341","1/1","4,963"
"Strength","The58thAcademic","A series of moments from the final battle, featuring badass Peter Parker, incredulous Steve Rogers, stressed dad Tony Stark, disbelieving Thor, and feral Hulk.","Spider-Man (Tom Holland Movies), Spider-Man - All Media Types, The Avengers (Marvel Movies), The Avengers (Marvel) - All Media Types, Marvel Cinematic Universe, Graphic Depictions Of Violence, Bruce Banner & Peter Parker, Peter Parker & Tony Stark, Peter Parker & Steve Rogers, Peter Parker & Thor, Bruce Banner, Peter Parker, Steve Rogers, Tony Stark, Thor (Marvel), Clint Barton, Natasha Romanov (Marvel), Nebula (Marvel), Rocket Raccoon, Pepper Potts","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/31158440","spiderman_fics__1","4,968","3/3","2,931"
"that time mr. harrington got scammed","turtle_bean","“Hello,” Mr. Harrington says, smiling at the receptionist at NASA and drumming the pads of his fingers on the desk. “We’ve been invited for a private tour?” “A… private tour,” she responds skeptically, raising an eyebrow and turning to her computer screen. “Can you tell me the name the invitation should be registered under?” The receptionist’s suspicion shakes Mr. Harrington slightly, but he quickly bounces back and spells out his name for her, his smile immediately dropping as she gives a quick shake of her head. “I’m sorry, sir, I don’t see this anywhere.” “That - that doesn’t make any sense.” While Mr. Harrington protests, Peter’s spidey-sense begins spiking once again, alerting him to danger on his left. The sheer immediacy of the sense gives him no choice but to look over, and as he does so, his gut drops. Oh. Oh no.--or, peter gets kidnapped with his academic decathlon team.","Marvel Cinematic Universe, Graphic Depictions Of Violence, Peter Parker & Tony Stark, Ned Leeds & Peter Parker, Peter Parker, Ned Leeds, Tony Stark, Flash Thompson, Academic Decathlon Team (Spider-Man: Homecoming), Roger Harrington, Michelle Jones, Norman Osborn, Peter Parker Needs a Hug, Peter Parker Whump, Kidnapped Peter Parker, Kidnapping, Protective Tony Stark, Insane Norman Osborn, Spidey Sense (Marvel), Field Trip","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/31001582","spiderman_fics__1","4,085","1/1","4,506"
"Flash Decisions","Clonkie","After Flash gets the Stark Industries Internship, Peter didn't think much of it until a series of events leads him to become invested.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), No Archive Warnings Apply, Peter Parker & Flash Thompson, Ned Leeds & Peter Parker, Peter Parker & Tony Stark, Happy Hogan & Peter Parker, Happy Hogan & Flash Thompson, Peter Parker, Ned Leeds, Flash Thompson, Tony Stark, Happy Hogan, Steve Rogers, Natasha Romanov (Marvel), Interns & Internships, Intern Peter Parker, Flash Thompson Being a Jerk, Flash Thompson Bullies Peter Parker","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/31009700","spiderman_fics__1","11,089","7/7","2,468"
"Two Spiders","orphan_account","The Black Widow meets Spiderman, and from there, they become teammates","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), No Archive Warnings Apply, Peter Parker & Natasha Romanov, Peter Parker & Tony Stark, Peter Parker & Avengers Team, Peter Parker, Natasha Romanov (Marvel), Tony Stark, Steve Rogers, Wanda Maximoff, Other Avengers, Post-Captain America: Civil War (Movie), Not Canon Compliant, Identity Reveal, Peter Parker Meets the Avengers, Protective Tony Stark, Protective Natasha Romanov, Precious Peter Parker","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/30837287","spiderman_fics__1","3,418","1/1","3,944"
"Coincidences and Superheroes","patrochilles_trash","He rubbed forcefully at his eyes, thinking that it was some sort of hallucination brought on by too much caffeine and not enough sleep, but when Alex dropped his hands, the kid was still there. He had to say something. He couldn’t just not say anything.“Uh, c-can I help you?”The kid nearly jumped out of his skin, smacking his head on the shelf above him in surprise. He whirled around to find the source of the sound, and Alex was met with the biggest deep brown doe eyes he’d ever seen in his life.“Jesus, sneak up on a guy next time, why don’t you?” the kid hissed, placing a hand over his heart dramatically. “Sorry. I-“ Alex stopped himself. Why was he apologizing? He was the adult here.    OR Alex and the other R&D interns meet the whirlwind that is Peter Parker, and they learn something about him that they honestly probably should have noticed sooner. Alex just wants one normal day in his life.  UPDATE: Please see Chapter 2 for an exciting annoucement!","Spider-Man (Tom Holland Movies), Spider-Man - All Media Types, The Avengers (Marvel Movies), Marvel Cinematic Universe, No Archive Warnings Apply, implied, Steve Rogers/Tony Stark, Peter Parker & Tony Stark, Peter Parker & Other(s), Peter Parker, Tony Stark, Original Female Character(s), Original Male Character(s), Peter Parker is a Little Shit, Tony Stark Acting as Peter Parker's Parental Figure, Tony Stark Has a Heart, Good Peter, BAMF Peter Parker, Precious Peter Parker, Identity Reveal","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/28951650","spiderman_fics__1","14,185","2/2","7,813"
"Peter Parker’s Official Pamphlet to: Interrogating someone while being sleep deprived as fuck","StarryKitty013","‘Parker is insomnias bitch’ -Nick Fury (2019)","Spider-Man - All Media Types, Marvel Cinematic Universe, Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence, Peter Parker & Nick Fury, Peter Parker, Nick Fury, Tony Stark, Steve Rogers, Clint Barton, inaccurate science, Not Canon Complient, Latvian, Interrogation, spontaneous surgery, medical inaccuracy, Sleep Deprivation, Humor, Some angst, Peter should prob get some sleep","Choose Not To Use Archive Warnings, Graphic Depictions Of ViolenceCreator Chose Not To Use Archive WarningsGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/30640727","spiderman_fics__1","3,319","1/1","2,023"
"team bonding with sam wilson","turtle_bean","They wait in an uncomfortable silence for a few moments, Mr. Harrington checking his watch every couple of seconds. The room is sparsely decorated, save for the circle of folding chairs. Beige paint peels off the walls and a clock by the doorway loudly announces each passing second with a resounding tick.  As Peter begins to grow impatient, a familiar face enters the room, his face painted with apologies, but before he can open his mouth to say any of them, Flash blurts out: “You’re The Falcon.”  The man, Sam Wilson, as Peter mentally fills in for himself, smiles indulgently and nods. “Yes, hello, my name is Sam Wilson, but you may know me as The Falcon. I’ll be conducting your group therapy session today.” --or, a 6,000-something word crack fic about sam wilson being a therapist.","Marvel Cinematic Universe, Graphic Depictions Of Violence, Peter Parker & Tony Stark, Peter Parker & Sam Wilson, Michelle Jones & Ned Leeds & Peter Parker, Academic Decathlon Team (Spider-Man: Homecoming) & Peter Parker, Peter Parker, Tony Stark, Michelle Jones, Ned Leeds, Academic Decathlon Team (Spider-Man: Homecoming), Sam Wilson (Marvel), Roger Harrington, Identity Reveal, Spider-Man Identity Reveal, Alternate Universe - Canon Divergence, Alternate Universe - Everyone Lives/Nobody Dies, Canon Divergence - Avengers: Endgame (Movie), Not Avengers: Endgame (Movie) Compliant, Fix-It","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/30491556","spiderman_fics__1","6,711","1/1","6,354"
"All good things come in threes","Bergen","“I know all about your secret identity.”A beat of silence. “Um,” Peter said, bunching his sweater in his hands. “Which… which one?”--Peter has three secret identities: Spider-Man, the superhero who swings around the city to save people. Parker Benjamin, who gives Tony Stark unsolicited advice on his research. And NightMonkey, the Instagrammer who keeps uploading increasingly popular but embarrassing drawings of Iron Man.And he can juggle them all just fine, thankyouverymuch.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, Michelle Jones/Peter Parker, Peter Parker & Tony Stark, Peter Parker, Tony Stark, May Parker (Spider-Man), Michelle Jones, Secret Identity, Identity Reveal, Tony Stark Has a Heart, Anxiety Attacks, Humor, Light-Hearted","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/30278670","spiderman_fics__1","27,550","3/3","23,272"
"Home (is where the family is)","gelation","Tony gets a new intern, Harley. Peter is excited but Harley is decidedly not. Peter doesn't get it. Then, Harley blames Peter for something that was decidedly not Peter's fault and Tony took Harley's side.Now, he gets it. Seeking comfort, he turns to his spider gang for help. Unfortunately, Peter was unaware that interdimensional travel meant that his atoms were split apart and put back together. Relatively painless, but on paper? He was practically dead. Obviously, Tony Stark gets notified that his protegee was in critical condition and calls the calvary","Spider-Man (Tom Holland Movies), Spider-Man: Into the Spider-Verse (2018), Marvel Cinematic Universe, No Archive Warnings Apply, Tony Stark & Peter Parker, Harley Keener & Tony Stark, Miles Morales & Peter Parker, May Parker (Spider-Man) & Peter Parker, Harley Keener, Tony Stark, Peter Parker, May Parker, Miles Morales, Gwen Stacy, Peter B. Parker, Peter Porker, Peni Parker (Spider-Man: Into the Spider-Verse), SP//dr (Marvel), Happy Hogan, Forgotten Peter Parker","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/30343923","spiderman_fics__1","5,740","4/4","4,430"
"Home Alone, starring Ned Leeds","gelation","Some enemies of Spiderman finds out that Ned Leeds is a close friend and they decide to kidnap him. Unluckily for them, Ned Leeds is a Filipino and is trained in the art of throwing tsinelas™or: Ned Leeds stars in his own movie, Home Alone","Spider-Man (Tom Holland Movies), Spider-Man: Homecoming (2017), Marvel Cinematic Universe, No Archive Warnings Apply, Michelle Jones/Peter Parker, Ned Leeds & Peter Parker, Michelle Jones & Ned Leeds & Peter Parker, Ned Leeds, Peter Parker, Michelle Jones (mentioned), Tony Stark (mentioned), Academic Decathlon Team (mentioned), BAMF Ned Leeds, Ned-centric, Ned Leeds Centric, crackfic, Home Alone","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/30297882","spiderman_fics__1","1,429","1/1","1,279"
"A Different Take","wolfish_one","Peter Parker never met Tony Stark.  He never went to Germany and fought the Avengers, and he sure as hell didn't get that cool suit.  What he did get, however, was a dead Aunt and Uncle and a traumatic event that he's calling the Homecoming Incident.  Now nearing sixteen years old, Peter's been in foster care for about two years with a man that reminds him too much of an old babysitter.When Peter and the rest of his Academic Decathlon go to the now renamed Stark Tower for a field trip, Peter gets his chance to show off what he knows.  After gaining the attention of his hero and icon, Peter struggles to keep up with his now very very part-time job as Spider-Man, his horrible home-life with his foster father, and keeping it all from his idol who knows a little about the abuse he's receiving at home.","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Iron Man (Movies), The Avengers (Marvel Movies), The Avengers (Marvel) - All Media Types, Graphic Depictions Of Violence, Peter Parker & Tony Stark, Peter Parker, Tony Stark, Pepper Potts, James ""Rhodey"" Rhodes, Skip Wescott, mentioned - Character, Ned Leeds, Peter Parker is Tony Stark's Biological Child, Not Avengers: Endgame (Movie) Compliant, Tony Stark Acting as Peter Parker's Parental Figure, Not Avengers: Infinity War Part 1 (Movie) Compliant, Post-Spider-Man: Homecoming, Not Spider-Man: Far From Home Compliant","Graphic Depictions Of ViolenceGraphic Depictions Of Violence","https://archiveofourown.org/collections/spiderman_fics__1/works/20574596","spiderman_fics__1","36,372","12/13","10,148"
"We Won The Academic Decathlon National Competition and Won A Field Trip To Stark Industries... Again","Lixxiecorn","After winning the Academic Decathlon National Competition, the Midtown team wins a sleepover fieldtrip at Stark Industries. Peter's home which his classmates have already visited once. This was going to end very badly.","Marvel Cinematic Universe, The Avengers (Marvel Movies), Marvel, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), Iron Man (Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker & Natasha Romanov, Clint Barton & Peter Parker, Peter Parker & Sam Wilson, Peter Parker & Academic Decathlon Team (Spider-Man: Homecoming), Peter Parker & Avengers Team, Ned Leeds & Peter Parker, Michelle Jones & Peter Parker, Michelle Jones & Ned Leeds & Peter Parker, Peter Parker & Thor, Loki & Peter Parker, Peter Parker & Steve Rogers, Peter Parker & Wanda Maximoff","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/20995439","spiderman_fics__1","14,594","7/8","2,273"
"Day Seventeen: Field Surgery","OBlossom","“Pete?” Ned called down, “What’s going on?”One of the major points the Avengers kept hammering into Peter during his first aid training was that sometimes, even when everything thing tells you that they shouldn’t be moved, a victim has to be moved.Mr. Harrington’s hair was suddenly floating in the water.The victim HAD to be moved.Ned and the others were now all peeking over the ledge. There was no way he could do this without...Now he really felt nauseous.But maybe they wouldn’t figure it out?Edited for minor corrections on May 3, 2023","Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), Marvel Cinematic Universe, No Archive Warnings Apply, Peter Parker & Tony Stark, Ned Leeds & Peter Parker, Peter Parker, Roger Harrington, Ned Leeds, Tony Stark, Decathalon Team - Character, Bruce Banner, Clint Barton, FebuWhump2021, Field Trip, Hurt/Comfort, IronDad and SpiderSon, Post-Avengers: Endgame (Movie), Stitches and stuff, Not Avengers: Endgame (Movie) Compliant","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/29536497","spiderman_fics__1","4,850","1/1","2,923"
"5 Times Someone Noticed Peter Doesn’t Breathe and One Time They Didn’t","CapeGooseberry","Fun fact: some spiders have what is known as book lungs which are made up of folds that contain blood and air pockets for gas exchange. Book lungs evolved separately from our lungs and no motion of the folds is required for respiration (ie no breathing movements).Not so fun fact: Peter has picked up a bunch of spider traits from a bite from some sort of mutant spider - and they go deeper than the surfaceThis is a peter was more spider than you thought story (you know the type).I read a fair bit about spider anatomy last summer (for purposes unrelated to this fic) which gave me the idea for this!","Marvel Cinematic Universe, Creator Chose Not To Use Archive Warnings, Peter Parker & Tony Stark, May Parker (Spider-Man) & Peter Parker, Ned Leeds & Peter Parker, Implied Peter Parker/Michelle Jones, Peter Parker & Michelle Jones, Peter Parker, Tony Stark, May Parker (Spider-Man), Ned Leeds, Nebula (Marvel), Helen Cho (Marvel), Michelle Jones, James ""Bucky"" Barnes, Sam Wilson (Marvel), William Ginter Riva, Christine Palmer, Happy Hogan, Pepper Potts","Choose Not To Use Archive WarningsCreator Chose Not To Use Archive Warnings","https://archiveofourown.org/collections/spiderman_fics__1/works/17317253","spiderman_fics__1","19,614","6/6","2,220"
"Instant Kill Mode","Isnt_it_pretty_to_think_so","""Is there a reason you're calling this late at night?"" Tony asks, worried in spite of himself. ""Tell me what's going on, kid.""“Everything is one-hundred-percent fine,” Peter says. “Seriously, I've never been better. But I should let you know I have about thirty bricks of cocaine in my bedroom. Also, Karen won't let me turn off Instant Kill Mode. Also, Walmart discontinued my special razzleberry pink squeezy lemonade. Which isn't related to tonight's patrol, I'm just bummed about it.” Or: The five times Instant Kill Mode is activated +1 *Runner-up for the Soothes the Pain Award in the Iron Dad 2021 Creators Awards.*","Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), The Avengers (Marvel Movies), Iron Man (Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, May Parker (Spider-Man) & Peter Parker, Pepper Potts/Tony Stark, Peter Parker & Steve Rogers & Tony Stark, Steve Rogers & Tony Stark, James ""Bucky"" Barnes/Steve Rogers, Peter Parker, Tony Stark, Pepper Potts, Thor (Marvel), May Parker (Spider-Man), Natasha Romanov (Marvel), Clint Barton, James ""Bucky"" Barnes, Steve Rogers","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/27242095","spiderman_fics__1","23,340","7/7","17,992"
"You Better Let Somebody Love You (Before It’s Too Late)","ambivalentangst","Tony finds Spider-Man on the roof of his favorite coffee shop.A few days after Siberia, it hurts to move—to reply to Spider-Man, even, when he tries to talk—but Tony, while irritated, assumes it’s a one-off incident.It’s not.Tony keeps leaving the too-quiet Tower for his caffeine fix, Spider-Man keeps popping up against the shop’s heater vent, and as weeks turn into months, Tony finds himself with a new friend. And if Spider-Man is a little dodgy here and there, well, Tony figures everyone’s entitled to their secrets.//Or, Tony doesn’t recruit Spider-Man for the Avengers’ Civil War. Maybe if he had, he would’ve caught that something was up with the guy before things went to shit.","Marvel Cinematic Universe, Spider-Man (Tom Holland Movies), Iron Man (Movies), No Archive Warnings Apply, Peter Parker & Tony Stark, Peter Parker, Tony Stark, Pepper Potts, James Rhodes, May Parker (Spider-Man), Homeless Peter Parker, Tony Stark Has a Heart, Tony Stark Has Issues, Alive May Parker, Good Parent May Parker, Identity Reveal, Angst, Whump, Hurt/Comfort, Post-Captain America: Civil War (Movie)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/28776825","spiderman_fics__1","13,023","2/2","7,594"
"quaranteens","blueh","“Peter Parker,” Cindy says. Peter’s head snaps up so fast that it almost looks inhuman. “Did Tony Stark just waltz in and pick up his child in the background of your Zoom call?” Peter freezes. Wide-eyed, with ‘guilty’ written on his forehead in 72, bold, Times New Roman font. It takes a solid thirty seconds before he can put himself together enough to click the unmute button. “I—no?” Peter says. His voice is startlingly high pitched and his expression is nothing short of horrified.Damn, if that isn’t anything but a confession. Or: a day in the life of the quarantined high school spider-kid, as seen through the eyes of his first-period chemistry class.","Marvel Cinematic Universe, Spider-Man - All Media Types, Spider-Man (Tom Holland Movies), No Archive Warnings Apply, No Romantic Relationship(s), Peter Parker & Tony Stark, Peter Parker & Midtown Institute of Science and Technology, Peter Parker, Tony Stark, Cindy Moon, Cobbwell (Marvel), The Entirely Of Peter Parker's Chemistry Class, Alternate Universe - Everyone Lives/Nobody Dies, Post-Avengers: Endgame (Movie), POV Outsider, Tony Stark Acting as Peter Parker's Parental Figure, Social Media, Zoom University, Quarantine, and they were quarantined (oh my god they were quarantined)","No Archive Warnings ApplyNo Archive Warnings Apply","https://archiveofourown.org/collections/spiderman_fics__1/works/28512807","spiderman_fics__1","6,666","1/1","21,379"
