Titulo,Autor,Resumen,Etiquetas,Advertencias,Enlace
Wait and Hope,mightbewriting,"“Harry,” Hermione began, voice very controlled, but she could feel the blade of panic slicing at her vocal cords. “Why was Draco Malfoy just screaming bloody murder about his,” and the word almost strangled her as she said it, “wife?”Harry's green eyes blew wide. Healer Lucas pinched the bridge of her nose, clearly displeased with the recent series of events.“He was referring to you, my dear,” she said. “That was the other question you got wrong. Your name is Hermione Jean Granger-Malfoy.”Hermione had to be sedated again.
[In which Hermione loses the last six year's worth of her memories, including the entirety of her relationship and marriage to Draco.]","Mature, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Harry Potter/Ginny Weasley, Hermione Granger, Draco Malfoy, Harry Potter, Ginny Weasley, Ron Weasley, Lavender Brown, Theodore Nott, Blaise Zabini, Pansy Parkinson, Memory Loss, Romance, Slow Burn, draco is trying so hard, hermione is so confused, harry is so harry, ginny is tired because toddlers, ron is very uncomfortable, lavender is there, pansy goes nuclear, theo is trawling for a boyfriend, blaise just wants to have a drink",Advertencias no encontradas,https://archiveofourown.org/works/22818646
Let The Dark In,senlinyu,"In a world where the rise of Voldemort never occurred, Wizarding society has found new ways to repress and exclude those they consider outsiders. Hermione Granger attends Hogwarts as one of the few Muggle-born students. Despite her efforts to make a place for herself, her future seems set in stone until Sixth Year, when the Triwizard Tournament is announced and everything begins to change.
“Bloody hell,” Ron says from beside her. “I think that blond tosser in the front is a Malfoy.”
She tears her eyes away to stare at Ron. “A who?”
He laughs and points at the blond boy. “Malfoy. I dunno his first name, but he’s definitely got to be a Malfoy. Old pureblood family from here in Britain. Bastards, the lot of them. Always Slytherins here at Hogwarts. Heard his dad sent him to Durmstrang because he didn’t want his son near any Muggle-borns.”","Mature, Creator Chose Not To Use Archive Warnings, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Hermione Granger, Draco Malfoy, Harry Potter, Ron Weasley, Viktor Krum, Albus Dumbledore, Ginny Weasley, Cormac McLaggen, Rita Skeeter, Severus Snape, Durmstrang Student Draco Malfoy, Alternate Universe - No Voldemort, Dark Magic, Triwizard Tournament, The Dark Arts (Harry Potter), Morally Grey Hermione Granger, Slow Burn, No Voldemort Does Not Mean No Bigotry, Angst, Hogwarts Sixth Year, Violence, Attempted Sexual Coercion, Triwizard Champion Hermione Granger, Minor Character Death, Implied/Referenced Suicide, Secret Relationship, Bigotry & Prejudice, Sexual Content, Rivals With Benefits, Combat Training As Foreplay",Advertencias no encontradas,https://archiveofourown.org/works/32850244
Dripping Fingers,May_May_0_0,"When Harry finds Tom Riddle's diary he does not write 'Hello.' He does not write anything at all. He draws. Tom Riddle falls in love with the artwork._________________Sketch by sketch, drawing by drawing, the ink Harry pours into the diary manifests as creations in Tom's monochrome world.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Harry Potter/Tom Riddle, Harry Potter, Tom Riddle, Hermione Granger, Ron Weasley, Petunia Evans Dursley, Dudley Dursley, Bartemius Crouch Jr., Hogwarts Students, Hogwarts Ghosts, Sirius Black, Artist Harry Potter, Lonely Harry Potter, Tom Riddle's Diary, Possessive Tom Riddle, Oblivious Harry, Sad Harry Potter, no bashing of anyone, Canon-Typical Violence, Triwizard Tournament, a severe lack of Dobby, Redemption, Canonical Character Death, Tom Riddle Redemption, Tom Riddle is His Own Warning, Tom Riddle Has Feelings, Eventual Sane Tom Riddle, Angst, Alternate Universe - Canon Divergence, Canon Compliant - Harry Potter and the Philosopher's Stone, Fluff and Angst, Tearjerker, If you read nothing else, Read chapter 16",Advertencias no encontradas,https://archiveofourown.org/works/25440826
Heir Apparent,MonsieurClavier,"When a Voldemort in his thirties encounters a time-travelling, seventeen-year-old Harry Potter, he makes a dangerous—and hilarious—assumption. He assumes that Harry is his son. And his son, of course, deserves the very best.A confused Harry plays along for the sake of self-preservation, but living with his “father” is proving to be intolerable in more ways than one.
“You are mine,” Voldemort said gently, and smiled when Harry flinched. So the boy did know Voldemort, after all. He knew Voldemort was to be feared. “I will look after you, my own.”
“I don’t belong to you,” Harry spat, despite his fear. Oh, what a delight he was! He was no cowering, simpering sycophant, like Voldemort’s other followers; no, this child had a spine of steel. Not many could stand before Voldemort without quailing.
“You are my son,” Voldemort declared. “Of course you belong to me. Your every cell, your every fibre, your every heartbeat. You are mine in flesh and blood and soul. You are mine in magic. And you will not deny me.”
Now with Chinese, Korean, Russian and Portugese translations, and featuring art by Mona and Hypnodisc!","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Harry Potter/Voldemort, Harry Potter/Tom Riddle | Voldemort, Harry Potter/Tom Riddle, Harry Potter, Tom Riddle | Voldemort, Death Eater Characters, Time Travel, Sane Voldemort (Harry Potter), Tom Riddle | Voldemort Adopts Harry Potter, Father-Son Relationship, but not really, Crack Treated Seriously, Drama, Romance, daddy voldie, Daddy Issues, POV Tom Riddle, Possessive Behavior, Possessive Tom Riddle, Protective Tom Riddle, Powerful Harry, Snark, Sassy Harry Potter, Awkward Conversations, Living Together, Enemies to Family to Lovers, the weirdest relationship development you've ever seen, okay maybe not the weirdest, but it's probably at least in the top 5, Pseudo-Incest, Fucked Up, Twisted and Fluffy Feelings, Voldemort Has No Moral Filter, Harry Has No Verbal Filter, so what else is new, Inappropriate Behavior, BDSM Fantasies, All In Voldemort's Head, ferrealz dude this is your SON, maybe stop being a creep for like 5 minutes?, death eater fam, Sugar Daddy, Redemption, Psychopaths In Love, Falling In Love, Yandere, Slow Burn, Opposites Attract, Sexual Tension, Fluff and Angst, Touching, So Much Touching, damn voldie why can't you keep your hands off your son, Humor, Comedy of Errors, Mutual Pining, Happy Ending, Intense, Passion, Soul Bond, Soulmates, EXTREMELY INTENSE ROMANCE, tone it down voldie sheesh, don't just jizz your feelings all over harry, POV Voldemort (Harry Potter), surprisingly wholesome despite its depravity, in fact ‘wholesome depravity’ is a pretty good description of this story, Warning: May Cause Hysterical Laughter and Uncomfortable Arousal, At the same time",Advertencias no encontradas,https://archiveofourown.org/works/25010857
Right Hand Red,lq_traintracks (lumosed_quill),"Harry felt Malfoy's breath on his lips as they came together over the bottle, hands firmly planted on the floor as though they each needed their familiar soil, refusing to cross into enemy territory. Except that Malfoy no longer felt like his enemy.  Malfoy felt inevitable.","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger, Ron Weasley, Pansy Parkinson, Seamus Finnigan, Ginny Weasley, Neville Longbottom, Luna Lovegood, Millicent Bulstrode, Dean Thomas, Blaise Zabini, Parvati Patil, Padma Patil, Portrait Severus Snape, Gordon the Ferret, OMC, Minerva McGonagall, Hogwarts Eighth Year, Unresolved Sexual Tension, Unresolved Romantic Tension, Bottom Draco, future switching, Party Games, Drunkenness, Hand Jobs, Blow Jobs, Anal Sex, First Time, Loss of Virginity, Secret Relationship, Angst and Humor",Advertencias no encontradas,https://archiveofourown.org/works/3178065
What We Pretend We Can't See,gyzym,"Seven years out from the war, Harry learns the hard truth of old history: it’s never quite as far behind you as you thought.","Mature, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Neville Longbottom/Ginny Weasley",Advertencias no encontradas,https://archiveofourown.org/works/9794657
Tea and No Sympathy,who_la_hoop,"It's Potter's fault, of course, that Draco finds himself trapped in the same twenty-four-hour period, repeating itself over and over again. It's been nearly a year since the unpleasant business at Hogwarts, and Draco's getting on with his life quite nicely, thank you, until Harry sodding Potter steps in and ruins it all, just like always. At first, though, the time loop seems liberating. For the first time in his life, he can do anything, say anything, be anything, without consequence. But the more Draco repeats the day, the more he realises the uncomfortable truth: he's falling head over heels for the speccy git. And suddenly, the time loop feels like a trap. For how can he ever get Harry to love him back when time is, quite literally, against him?","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Narcissa Malfoy, Lucius Malfoy, Hermione Granger, Ron Weasley, Aberforth Dumbledore, Rubeus Hagrid, Buckbeak, Justin Finch-Fletchley, Ernie Macmillan, Terence Higgs, Minerva McGonagall, Giant Squid (Harry Potter), Slow Build, Draco-centric, Tea Drinking, Swearing, Muggle London, Houses of Parliament, Malfoy Manor, flangst, Family Feels, Muggle/Wizard Relations, Coming Out, Heartfelt Conversations, Sarcastic Conversations, Owls, Competitive Card Games, Falling In Love, getting drunk, Enthusiastic Snogging, Hogwarts Castle, Sex In The Slytherin Dormitory, Frottage, Time Travel, Time Loop, HP: EWE",Advertencias no encontradas,https://archiveofourown.org/works/2734082
Soup-pocalypse and The Great Curry Cataclysm,SquadOfCats,"Eleven years after the war, Draco Malfoy leads a quiet, boring, and perfectly respectable life, thanks very much. Or, at least he does, until a sudden and very unexpected veela awakening causes him to throw soup all over Harry Potter in the middle of the Ministry cafeteria.","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry Potter, Draco Malfoy, Teddy Lupin, Hermione Granger, Ron Weasley, Lavender Brown, Veela Draco Malfoy, Veela Mates, Teddy Lupin was Raised by Harry Potter, Parent Harry Potter, Depression, Mental Health Issues, Slow Burn, Enemies to Lovers, Angst, Humor, Hurt/Comfort, Explicit Sexual Content, Bottom Draco Malfoy, Top Harry Potter, Past Suicide Attempt, H/D Food Fair 2018, Ministry of Magic Employee Draco Malfoy, Harry Potter Thinks Draco Malfoy is Up to Something, Draco Malfoy Cooks, Courtship, Food Issues, Romance, Pining Draco Malfoy, Auror Harry Potter, Post-Hogwarts, Harry Potter Epilogue What Epilogue | EWE",Advertencias no encontradas,https://archiveofourown.org/works/16036310
Away Childish Things,lettered,Harry gets de-aged.  Malfoy has to help him.,"Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Age Regression/De-Aging, Past Child Abuse, Past Malnutrition, Past Neglect, Past Touch Deprivation, Dyslexia, Eating Disorders, Verbal Abuse, Internalized Homophobia, Homophobia, Biphobia, Homophobic Slurs, Pure-blood Bigotry, Pure-blood Slurs, Crying, Grief/Mourning, Off-screen death of a secondary character, the Death is an Implied Suicide, Mommy Issues, Daddy Issues, Toxic Masculinity, Long Hair, Emotional Dysfunction, Age Difference, Blood, Bodyswap (kind of), Love Potion/Spell, Potions Accident, Family, Hurt/Comfort, heavy on the comfort, Endearments, Bacon, salad",Advertencias no encontradas,https://archiveofourown.org/works/16052816
Mental,sara_holmes,"Harry has had quite enough of sharing his mind with someone else, thankyouverymuch. A miscast Legilimecy spell says otherwise.(Fic from 2010 FF archive being uploaded here.)AND FOR THE LAST FUCKING TIME, STOP REPOSTING THIS ON WATTPAD. I DO NOT WANT IT ON WATTPAD. YOU DO NOT HAVE PERMISSION TO POST THIS ON WATTPAD.","Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Ron Weasley, Hermione Granger, Various Characters, Romance, Slow Build, Getting Together, Angst and Humor, Coming Out, Developing Relationship, Legilimency, Mind Control, Magical Accidents, Accidental Bonding, of sorts, Mind Meld, Swearing, Hogwarts Eighth Year",Advertencias no encontradas,https://archiveofourown.org/works/5163386
Hermione Granger's Hogwarts Crammer for Delinquents on the Run,waspabi,"'You're a wizard, Harry' is easier to hear from a half-giant when you're eleven, rather than from some kids on a tube platform when you're seventeen and late for work.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Harry Potter, Draco Malfoy, Hermione Granger, Ron Weasley, Luna Lovegood, Ginny Weasley, Neville Longbottom, Pining, Humor, Hijinks & Shenanigans, Alternate Universe - Canon Divergence, Friendship",Advertencias no encontradas,https://archiveofourown.org/works/7331278
An Issue of Consequence,Faith Wood (faithwood),Draco has woken up in an alternate universe. Or he has woken up utterly insane. Nothing else can possibly explain why Harry Potter suddenly seems to think he's Draco's boyfriend.,"Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Blaise Zabini, Pansy Parkinson, HP: EWE, Hogwarts Eighth Year, Romance, Mystery, Humor, Explicit Sexual Content, Potions",Advertencias no encontradas,https://archiveofourown.org/works/1439476
Running on Air,eleventy7,Draco Malfoy has been missing for three years. Harry is assigned the cold case and finds himself slowly falling in love with the memories he collects.,"Teen And Up Audiences, No Archive Warnings Apply, Multi, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Harry/Ginny, past Draco/Astoria, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Astoria Greengrass, Ginny Weasley, Mystery, Drama, Friendship, Slow Burn, Romance",Advertencias no encontradas,https://archiveofourown.org/works/3171550
We're Already Married,XxTheDarkLordxX,"""Our whole lives we have always told people that we were married. I knew that it wasn't exactly normal but it was always something that filled me with so much affection for you. I have loved you for so long. Longer than I ever realized."" Harry took a deep breath as he looked into shining silver eyes.Or...Three-year-old Harry asks little Draco to marry him and they insist to anyone who will listen that they are indeed already married.","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Sirius Black/Remus Lupin, Lucius Malfoy/Narcissa Black Malfoy, Draco Malfoy, Harry Potter, Sirius Black, Remus Lupin, Lucius Malfoy, Narcissa Black, Fluff, Tooth-Rotting Fluff, Kid Fic, to adults, Adorable, No Angst, Romance, Best Friends, Friends to Lovers, Sirius ships it, Remus is so done",Advertencias no encontradas,https://archiveofourown.org/works/12312867
Remain Nameless,HeyJude19,"How did it feel? It felt like he was barely holding it together. She, of all people, should shun him. Or yell at him. Curse him. Spit at him. Take out her wand and blast him off the face of the earth. It was crushing guilt and relief and confusion all at once when he looked at Hermione Granger.The monotony of Draco’s daily routine had become both a lifeline and a noose. But this new habit of grabbing coffee with Hermione Granger is quickly becoming a reason to get out of bed and is unfortunately forcing him to re-evaluate his inconsequential existence.Hermione is living her life in fragments, separate pieces scattered about, and she can’t find a way to step back and let the full picture form. Why are morning meetings with Draco Malfoy the only thing that make sense anymore?","Explicit, No Archive Warnings Apply, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Harry Potter/Ginny Weasley, Padma Patil/Ron Weasley, Theodore Nott, Narcissa Black Malfoy, Luna Lovegood, Original Characters, Susan Bones, Weasley Family (Harry Potter), Astoria Greengrass, Pansy Parkinson, Minerva McGonagall, Dennis Creevey, Parvati Patil, Romance, Angst, Fluff and Angst, Post-Hogwarts, Harry Potter Epilogue What Epilogue | EWE, Slow Burn, Friends to Lovers, Mutual Pining, POV Draco Malfoy, POV Hermione Granger, Post-Traumatic Stress Disorder - PTSD, Past Drug Addiction, Healing, Sexual Content, Explicit Language, Cross-Posted on FanFiction.Net, Explicit Sexual Content, Enthusiastic Consent, Slow Romance, blueberry scones, Suicidal Thoughts, Cross-Posted on Wattpad, Angst with a Happy Ending, HEA",Advertencias no encontradas,https://archiveofourown.org/works/23875939
Text Talk,merlywhirls,"Sirius is in boarding school, Remus is in hospital, and they don't know each other until Sirius texts the wrong number.","Not Rated, Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Harry Potter - J. K. Rowling, Sirius Black/Remus Lupin, wolfstar - Relationship, Sirius Black, Remus Lupin, James Potter, Peter Pettigrew, Moony, Wormtail, Padfoot, Prongs, Lily Evans, Lily Potter, Alice Longbottom, Frank Longbottom, text, Texting, text fic, Hospital, Boarding School, MWPP, Marauders era, The Marauders - Freeform, Maurders AU, AU, Alternate Universe, Modern AU, texting fic, School, Injury, Mention of family abuse, mention of depression, family stuff, Parents, Illness, Homophobic Slurs, Mention Of Homophobia",Advertencias no encontradas,https://archiveofourown.org/works/1651109
Draco Malfoy and the Mortifying Ordeal of Being in Love,isthisselfcare,"Hermione straddles the Muggle and Magical worlds as a medical researcher and Healer about to make a big discovery. Draco is an Auror assigned to protect her from forces unknown – to both of their displeasure.Features hyper-competent, fiery Hermione and lazy, yet dangerous, Draco. Slow burn.","Explicit, Graphic Depictions Of Violence, F/M, Harry Potter - J. K. Rowling, Hermione Granger/Draco Malfoy, Draco Malfoy, Hermione Granger, Healer Hermione Granger, Researcher Hermione Granger, Auror Draco Malfoy, Slow Burn, Unresolved Sexual Tension, Eventual Smut, POV Draco Malfoy, Forced Collaboration, Romance, romcom, Action/Adventure, EWE, HEA, reckless overuse of author's favourite tropes, oblivious idiots, All aboard the SS Denial, late-stage pining, what is pining if not denial persevering, No first names we die like men, do not look too closely at the plot you will only hurt yourself, scandalous ankle touching, misuse of whirlpool baths, graphic depictions of competent women, eroticised arithmancy, Crookshanks will fight god or become him, human on mushroom violence, Schrödinger's ethics, Nuns",Advertencias no encontradas,https://archiveofourown.org/works/34500952
hello goodbye ('twas nice to know you),tamerofdarkstars,"Draco Malfoy thinks he might know whose thoughts are scrawling themselves on his skin, but that's crazy. Impossible, even. It has to be a mistake.-Self-indulgent soulmate AU where the thoughts of your soulmate inscribe themselves on your skin in a shifting magic tattoo","Teen And Up Audiences, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Blaise Zabini, Dean Thomas, Seamus Finnigan, Ensemble, Soulmate-Identifying Marks, Alternate Universe - Soulmates, finally finished this holy hell, Fluff, seriously so much fluff, Hogwarts Eighth Year, Spanish Translation, 中文翻译 | Translation in Chinese, Перевод на русский | Translation in Russian, Korean Translation",Advertencias no encontradas,https://archiveofourown.org/works/4371455
In Evidence of Magical Theory,bixgirl1,"When a hex meant for Draco accidentally catches Harry as well, they're forced to learn to understand each other in ways they previously might have thought impossible.In which Harry and Draco can't fight, so they fall in love instead.","Explicit, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Hermione Granger, Ron Weasley, Pansy Parkinson, Blaise Zabini, Minerva McGonagall, OMC, Hogwarts Eighth Year, Accidental Bonding, Magical Theory, Magical Cores, Powerful Harry, Rimming, Anal Sex, Anal Fingering, Switching, Slash, HP: EWE, Falling In Love, forced bed sharing, Blow Jobs, completed fic, Bonding, Forced Proximity, Sharing a Bed, First Time, Loss of Virginity",Advertencias no encontradas,https://archiveofourown.org/works/9174820
Who Shagged Harry Potter?,Faith Wood (faithwood),"One beautiful sunny Sunday the Slytherins wake up after a raunchy night only to discover a very naked Harry Potter sleeping in their dormitory. Naturally, they ask themselves a logical question: Who the hell shagged him?","Explicit, No Archive Warnings Apply, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Blaise Zabini, Theodore Nott, Gregory Goyle, Smut, Humor, Hogwarts Eighth Year",Advertencias no encontradas,https://archiveofourown.org/works/392041
"Hey, Potter",SunseticMonster,"Harry returns to Hogwarts for his 8th year, determined not to let Malfoy get to him. But when the snarky teasing starts up again, Harry finds that returning the jibes with compliments has a far more interesting outcome.","Mature, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Draco Malfoy, Harry Potter, Ron Weasley, Gregory Goyle, Pansy Parkinson, Ghosts, Drinking, Mind/Mood Altering Substances, Hogwarts Eighth Year, Alcohol, Drama, Fluff and Angst, Humor",Advertencias no encontradas,https://archiveofourown.org/works/787368
All Our Secrets Laid Bare,firethesound,"Over the six years Draco Malfoy has been an Auror, four of his partners have turned up dead. Harry Potter is assigned as his newest partner to investigate just what is going on.","Explicit, Creator Chose Not To Use Archive Warnings, M/M, Harry Potter - J. K. Rowling, Draco Malfoy/Harry Potter, Hermione Granger/Ron Weasley, Harry Potter/Original Male Character(s), Draco Malfoy, Harry Potter, Ron Weasley, Hermione Granger, Original Male Character(s), Original Female Character(s), Lucius Malfoy, Narcissa Black Malfoy, Kingsley Shacklebolt, Auror Partners, Sexual Content, Wandless Magic, Mystery, Investigations, Magical Tattoos, Getting Together, Trapped, Secrets, Secret Relationship, Shower Sex, First Time, Loss of Virginity, Blow Jobs, Office Sex, Duelling, Falling In Love, Hats, Glasses, Curry, Tea, Bars and Pubs, Hoodies",Advertencias no encontradas,https://archiveofourown.org/works/1227880
you belong to me (i belong to you),Child_OTKW,"“What I find absolutely fascinating,” Riddle said, stalking closer, “is you.” He marched forward, backing Harry up until he was pinned to the cool wall of the common room. “Do you know why?”

“No. And I’ll be honest here, Riddle, I don’t particularly care.”

The taller boy grinned at him, small yet infinitely pleased. “That. Right there.” One hand rose and brushed some of Harry’s fringe from his face. “Nathan Ciro was a spineless little boy too afraid of his own shadow to dare even glance in my direction. But you…”

He leaned closer, “You look at me like you want to stab me.”
After an accident, Auror Harry Potter wakes up in the body of fourteen year old Nathan Ciro, a tormented Slytherin who recently tried to end his own life. Seeking answers to his strange predicament, Harry returns to Hogwarts, and causes quite the stir through staff and students - especially when they come to realise he is not the same boy as before.He tries to avoid suspicion, but as his quest for the truth draws more and more attention to him, Harry begins to think that he might not like what he will discover.","Not Rated, Graphic Depictions Of Violence, Rape/Non-Con, Underage Sex, Harry Potter - J. K. Rowling, Harry Potter & Tom Riddle, Death & Harry Potter, Orion Black & Harry Potter, Harry Potter, Tom Riddle, Orion Black, Albus Dumbledore, Gellert Grindelwald, Lestrange Sr. (Harry Potter), Original Characters, Death (Harry Potter), Time Travel, Body Swap, Riddle at Hogwarts Era, Slytherin Politics, Slytherin Harry, Grey Harry, Auror Harry, Mind Games, Obsessive Behavior, Possessive Behavior, Implied/Referenced Rape/Non-con, Rape Aftermath, Underage Rape/Non-con, Suicide Attempt, The Non-con is not between Harry and Tom, Master of Death Harry Potter, Mild Horror, Minor Harry Potter/Ginny Weasley, Technically pre-relationship - Freeform, Tags May Change",Advertencias no encontradas,https://archiveofourown.org/works/11270490
Three's Family,darkbluedark,"It’s May 1979 and the Order has just apprehended a pair of mysterious wizards who look remarkably like a Potter and a Malfoy. Naturally, James Potter and Sirius Black are called in to identify the strangely familiar strangers and determine their backgrounds and loyalties.(This would be a lot easier if their captives weren’t convinced everyone they talk to is dead. It would also be easier if they didn’t spend half their bloody time bickering.)**“Just ask them questions only they would know the answer to,” Malfoy suggests.“There’s not a single thing that I know about either of them from the first war that any old Death Eater couldn’t find out.”“How is that possible?” Malfoy huffs. “He’s your father!”“Am I or am I not famously an orphan?” Potter snarls.**Русский перевод: https://archiveofourown.org/works/49365862/chapters/124574398中文翻译: https://archiveofourown.org/works/49899721","Teen And Up Audiences, No Archive Warnings Apply, F/M, Gen, Harry Potter - J. K. Rowling, James Potter/Lily Evans Potter, Draco Malfoy & Harry Potter, background Remus Lupin/Sirius Black - Relationship, Sirius Black & James Potter, Harry Potter & James Potter & Lily Evans Potter, Harry Potter, Draco Malfoy, James Potter, Lily Evans Potter, Sirius Black, Albus Dumbledore, Dorcas Meadowes, Time Travel, Time Travel Fix-It, Fluff and Humor, And Hard Truths, First Wizarding War with Voldemort (Harry Potter), Marauders Era (Harry Potter), Found Family, LITERALLY, proposal, not drarry, unless you consider bickering to be foreplay in which case you may consider this pre-slash, Enemies to reluctant allies, Time Travelling Harry Potter",Advertencias no encontradas,https://archiveofourown.org/works/42356628
